N3,N2,N1
100x,10,1
210x,21,2
220x,22,2
231a,23,2
232a,23,2
233a,23,2
233b,23,2
233c,23,2
233d,23,2
311c,31,3
311d,31,3
311e,31,3
312a,31,3
331a,33,3
332a,33,3
332b,33,3
333a,33,3
333b,33,3
333c,33,3
333d,33,3
333e,33,3
333f,33,3
334a,33,3
335a,33,3
341a,34,3
341b,34,3
342b,34,3
342c,34,3
342d,34,3
342f,34,3
342g,34,3
342h,34,3
343a,34,3
344a,34,3
344b,34,3
344c,34,3
344d,34,3
351a,35,3
352a,35,3
352b,35,3
353a,35,3
353b,35,3
353c,35,3
354a,35,3
354b,35,3
354c,35,3
354e,35,3
354f,35,3
354g,35,3
371a,37,3
372a,37,3
372b,37,3
372c,37,3
372d,37,3
372e,37,3
372f,37,3
373a,37,3
373b,37,3
373c,37,3
373d,37,3
374a,37,3
374b,37,3
374c,37,3
374d,37,3
375a,37,3
375b,37,3
376a,37,3
376b,37,3
376c,37,3
376d,37,3
376e,37,3
376f,37,3
376g,37,3
377a,37,3
380a,38,3
381b,38,3
381c,38,3
382a,38,3
382b,38,3
382c,38,3
382d,38,3
383a,38,3
383b,38,3
383c,38,3
384a,38,3
384b,38,3
384c,38,3
385a,38,3
385b,38,3
385c,38,3
386b,38,3
386c,38,3
386d,38,3
386e,38,3
387a,38,3
387b,38,3
387c,38,3
387d,38,3
387e,38,3
387f,38,3
388a,38,3
388b,38,3
388c,38,3
388d,38,3
388e,38,3
389a,38,3
389b,38,3
389c,38,3
421a,42,4
421b,42,4
422a,42,4
422b,42,4
422c,42,4
422d,42,4
422e,42,4
423a,42,4
423b,42,4
424a,42,4
425a,42,4
431a,43,4
431b,43,4
431c,43,4
431d,43,4
431e,43,4
431f,43,4
432b,43,4
432d,43,4
433a,43,4
433b,43,4
433c,43,4
433d,43,4
434a,43,4
434b,43,4
434c,43,4
434d,43,4
434e,43,4
434f,43,4
434g,43,4
435a,43,4
435b,43,4
441a,44,4
441b,44,4
451a,45,4
451b,45,4
451c,45,4
451d,45,4
451e,45,4
451g,45,4
451h,45,4
452a,45,4
452b,45,4
461b,46,4
461c,46,4
461d,46,4
461e,46,4
461f,46,4
462a,46,4
462b,46,4
462c,46,4
462d,46,4
462e,46,4
463a,46,4
463b,46,4
463c,46,4
463d,46,4
463e,46,4
464a,46,4
464b,46,4
465a,46,4
465b,46,4
465c,46,4
466a,46,4
466b,46,4
466c,46,4
467a,46,4
467b,46,4
467c,46,4
467d,46,4
468a,46,4
468b,46,4
471a,47,4
471b,47,4
472a,47,4
472b,47,4
472c,47,4
472d,47,4
473a,47,4
473b,47,4
473c,47,4
474a,47,4
474b,47,4
474c,47,4
475a,47,4
475b,47,4
476a,47,4
476b,47,4
477a,47,4
477b,47,4
477c,47,4
477d,47,4
478a,47,4
478b,47,4
478c,47,4
478d,47,4
479a,47,4
479b,47,4
480a,48,4
480b,48,4
481a,48,4
481b,48,4
482a,48,4
483a,48,4
484a,48,4
484b,48,4
485a,48,4
485b,48,4
486b,48,4
486c,48,4
486d,48,4
486e,48,4
487a,48,4
487b,48,4
488a,48,4
488b,48,4
521a,52,5
521b,52,5
522a,52,5
523b,52,5
523a,52,5
523c,52,5
523d,52,5
524a,52,5
524b,52,5
524c,52,5
524d,52,5
525a,52,5
525b,52,5
525c,52,5
525d,52,5
526a,52,5
526b,52,5
526c,52,5
526d,52,5
526e,52,5
531a,53,5
531b,53,5
531c,53,5
532a,53,5
532b,53,5
532c,53,5
533a,53,5
533b,53,5
533c,53,5
534a,53,5
534b,53,5
541b,54,5
541c,54,5
541d,54,5
542a,54,5
542b,54,5
543b,54,5
543c,54,5
543e,54,5
543f,54,5
543g,54,5
543h,54,5
544a,54,5
545a,54,5
545b,54,5
545c,54,5
545d,54,5
546a,54,5
546b,54,5
546c,54,5
546d,54,5
546e,54,5
551a,55,5
552a,55,5
553b,55,5
553c,55,5
554a,55,5
554b,55,5
554c,55,5
554d,55,5
554e,55,5
554f,55,5
554g,55,5
554h,55,5
554j,55,5
555a,55,5
556a,55,5
561b,56,5
561c,56,5
561d,56,5
561e,56,5
561f,56,5
562a,56,5
562b,56,5
563a,56,5
563b,56,5
563c,56,5
564a,56,5
564b,56,5
621a,62,6
621b,62,6
621c,62,6
621d,62,6
621e,62,6
621f,62,6
621g,62,6
622a,62,6
622c,62,6
622d,62,6
622e,62,6
622f,62,6
622g,62,6
623a,62,6
623b,62,6
623d,62,6
623e,62,6
623f,62,6
623g,62,6
624b,62,6
624c,62,6
624d,62,6
624e,62,6
624f,62,6
624g,62,6
625a,62,6
625b,62,6
625c,62,6
625d,62,6
625f,62,6
625g,62,6
625h,62,6
626a,62,6
626b,62,6
626c,62,6
627a,62,6
627b,62,6
627c,62,6
627d,62,6
627e,62,6
627f,62,6
628a,62,6
628b,62,6
628c,62,6
628d,62,6
628e,62,6
628f,62,6
628g,62,6
631a,63,6
632a,63,6
632b,63,6
632c,63,6
632d,63,6
632e,63,6
632f,63,6
632g,63,6
632h,63,6
632j,63,6
632k,63,6
633a,63,6
633b,63,6
633c,63,6
633d,63,6
634a,63,6
634b,63,6
634c,63,6
634d,63,6
635a,63,6
636a,63,6
636b,63,6
636c,63,6
636d,63,6
637a,63,6
637b,63,6
637c,63,6
637d,63,6
641a,64,6
641b,64,6
642a,64,6
642b,64,6
643a,64,6
644a,64,6
651a,65,6
651b,65,6
652a,65,6
652b,65,6
653a,65,6
654b,65,6
654c,65,6
655a,65,6
656b,65,6
656c,65,6
671a,67,6
671c,67,6
671d,67,6
672a,67,6
673a,67,6
673b,67,6
673c,67,6
674a,67,6
674b,67,6
674c,67,6
674d,67,6
674e,67,6
675a,67,6
675b,67,6
675c,67,6
676a,67,6
676b,67,6
676c,67,6
676d,67,6
676e,67,6
681a,68,6
681b,68,6
682a,68,6
683a,68,6
684a,68,6
684b,68,6
685a,68,6
691a,69,6
691b,69,6
691c,69,6
691d,69,6
691e,69,6
691f,69,6
692a,69,6
